Frequency,Product_A,Product_B,Pair_Label
894,Green Regency Teacup And Saucer,Pink Regency Teacup And Saucer,Green Regency Teacup And Saucer + Pink Regency Teacup And Saucer
863,Jumbo Bag Pink Polkadot,Jumbo Bag Red Retrospot,Jumbo Bag Pink Polkadot + Jumbo Bag Red Retrospot
845,Green Regency Teacup And Saucer,Roses Regency Teacup And Saucer,Green Regency Teacup And Saucer + Roses Regency Teacup And Saucer
747,Jumbo Bag Red Retrospot,Jumbo Storage Bag Suki,Jumbo Bag Red Retrospot + Jumbo Storage Bag Suki
699,Lunch Bag Black Skull,Lunch Bag Red Retrospot,Lunch Bag Black Skull + Lunch Bag Red Retrospot
695,Lunch Bag Red Retrospot,Lunch Bag Suki Design,Lunch Bag Red Retrospot + Lunch Bag Suki Design
694,Jumbo Bag Red Retrospot,Jumbo Shopper Vintage Red Paisley,Jumbo Bag Red Retrospot + Jumbo Shopper Vintage Red Paisley
690,Alarm Clock Bakelike Green,Alarm Clock Bakelike Red,Alarm Clock Bakelike Green + Alarm Clock Bakelike Red
678,Pink Regency Teacup And Saucer,Roses Regency Teacup And Saucer,Pink Regency Teacup And Saucer + Roses Regency Teacup And Saucer
647,Lunch Bag Black Skull,Lunch Bag Suki Design,Lunch Bag Black Skull + Lunch Bag Suki Design
